ROI_L,ROI_R
A8m_medial_area_8_L,A8m_medial_area_8_R
A8dl_dorsolateral_area_8_L,A8dl_dorsolateral_area_8_R
A9l_lateral_area_9_L,A9l_lateral_area_9_R
A6dl_dorsolateral_area_6_L,A6dl_dorsolateral_area_6_R
A6m_medial_area_6_L,A6m_medial_area_6_R
A9m_medial_area_9_L,A9m_medial_area_9_R
A10m_medial_area_10_L,A10m_medial_area_10_R
A9/46d_dorsal_area_9/46_L,A9/46d_dorsal_area_9/46_R
IFJ_inferior_frontal_junction_L,IFJ_inferior_frontal_junction_R
A46_area_46_L,A46_area_46_R
A9/46v_ventral_area_9/46_L,A9/46v_ventral_area_9/46_R
A8vl_ventrolateral_area_8_L,A8vl_ventrolateral_area_8_R
A6vl_ventrolateral_area_6_L,A6vl_ventrolateral_area_6_R
A10l_lateral_area10_L,A10l_lateral_area10_R
A44d_dorsal_area_44_L,A44d_dorsal_area_44_R
IFS_inferior_frontal_sulcus_L,IFS_inferior_frontal_sulcus_R
A45c_caudal_area_45_L,A45c_caudal_area_45_R
A45r_rostral_area_45_L,A45r_rostral_area_45_R
A44op_opercular_area_44_L,A44op_opercular_area_44_R
A44v_ventral_area_44_L,A44v_ventral_area_44_R
A14m_medial_area_14_L,A14m_medial_area_14_R
A12/47o_orbital_area_12/47_L,A12/47o_orbital_area_12/47_R
A11l_lateral_area_11_L,A11l_lateral_area_11_R
A11m_medial_area_11_L,A11m_medial_area_11_R
A13_area_13_L,A13_area_13_R
A12/47l_lateral_area_12/47_L,A12/47l_lateral_area_12/47_R
A4hf_area_4_head_and_face_region__L,A4hf_area_4_head_and_face_region__R
A6cdl_caudal_dorsolateral_area_6_L,A6cdl_caudal_dorsolateral_area_6_R
A4ul_area_4_upper_limb_region__L,A4ul_area_4_upper_limb_region__R
A4t_area_4_trunk_region__L,A4t_area_4_trunk_region__R
A4tl_area_4_tongue_and_larynx_region__L,A4tl_area_4_tongue_and_larynx_region__R
A6cvl_caudal_ventrolateral_area_6_L,A6cvl_caudal_ventrolateral_area_6_R
A1/2/3ll_area1/2/3__lower_limb_region__L,A1/2/3ll_area1/2/3__lower_limb_region__R
A4ll_area_4__lower_limb_region__L,A4ll_area_4__lower_limb_region__R
A38m_medial_area_38_L,A38m_medial_area_38_R
A41/42_area_41/42_L,A41/42_area_41/42_R
TE1.0_and_TE1.2_L,TE1.0_and_TE1.2_R
A22c_caudal_area_22_L,A22c_caudal_area_22_R
A38l_lateral_area_38_L,A38l_lateral_area_38_R
A22r_rostral_area_22_L,A22r_rostral_area_22_R
A21c_caudal_area_21_L,A21c_caudal_area_21_R
A21r_rostral_area_21_L,A21r_rostral_area_21_R
A37dl_dorsolateral_area37_L,A37dl_dorsolateral_area37_R
aSTS_anterior_superior_temporal_sulcus_L,aSTS_anterior_superior_temporal_sulcus_R
A20iv_intermediate_ventral_area_20_L,A20iv_intermediate_ventral_area_20_R
A37elv_extreme_lateroventral_area37_L,A37elv_extreme_lateroventral_area37_R
A20r_rostral_area_20_L,A20r_rostral_area_20_R
A20il_intermediate_lateral_area_20_L,A20il_intermediate_lateral_area_20_R
A37vl_ventrolateral_area_37_L,A37vl_ventrolateral_area_37_R
A20cl_caudolateral_of_area_20_L,A20cl_caudolateral_of_area_20_R
A20cv_caudoventral_of_area_20_L,A20cv_caudoventral_of_area_20_R
A20rv_rostroventral_area_20_L,A20rv_rostroventral_area_20_R
A37mv_medioventral_area37_L,A37mv_medioventral_area37_R
A37lv_lateroventral_area37_L,A37lv_lateroventral_area37_R
A35/36r_rostral_area_35/36_L,A35/36r_rostral_area_35/36_R
A35/36c_caudal_area_35/36_L,A35/36c_caudal_area_35/36_R
TL_area_TL__lateral_PPHC_posterior_parahippocampal_gyrus__L,TL_area_TL__lateral_PPHC_posterior_parahippocampal_gyrus__R
A28/34_area_28/34__EC_entorhinal_cortex__L,A28/34_area_28/34__EC_entorhinal_cortex__R
TI_area_TI_temporal_agranular_insular_cortex__L,TI_area_TI_temporal_agranular_insular_cortex__R
TH_area_TH__medial_PPHC__L,TH_area_TH__medial_PPHC__R
rpSTS_rostroposterior_superior_temporal_sulcus_L,rpSTS_rostroposterior_superior_temporal_sulcus_R
cpSTS_caudoposterior_superior_temporal_sulcus_L,cpSTS_caudoposterior_superior_temporal_sulcus_R
A7r_rostral_area_7_L,A7r_rostral_area_7_R
